fecha,procedencia,personas
2022-03-20,América del Sur,0
2022-03-20,Estonia-Letonia-Lituania,0
2022-03-20,España,6
2022-03-20,Europa,6
2022-03-20,Polonia,31
2022-03-20,Gran Bretaña,3
2022-03-20,Oceanía,0
2022-03-20,Residente,3
2022-03-20,África,0
2022-03-20,Asia y Oriente Próx.,0
2022-03-20,Rusia,0
2022-03-20,Francia,2
2022-03-20,R. Eslovaca,0
2022-03-26,Residente,13
2022-03-26,África,0
2022-03-26,Gran Bretaña,0
2022-03-26,Italia,4
2022-03-26,Alemania,23
2022-03-26,Francia,2
2022-03-26,España,5
2022-03-26,Asia y Oriente Próx.,0
2022-03-26,Europa,5
2022-03-26,Polonia,32
2022-03-26,América del Norte,4
2022-03-26,Estonia-Letonia-Lituania,18
2022-03-26,América del Sur,0
2022-03-26,R. Eslovaca,0
2022-03-26,R. Checa,8
2022-03-26,Oceanía,0
2022-03-26,Rusia,0
2022-03-26,Austria,0
2022-04-02,Asia y Oriente Próx.,0
2022-04-02,España,18
2022-04-02,R. Eslovaca,0
2022-04-02,Oceanía,0
2022-04-02,América del Sur,0
2022-04-02,América del Norte,0
2022-04-02,Austria,0
2022-04-02,Italia,3
2022-04-02,Estonia-Letonia-Lituania,10
2022-04-02,Alemania,25
2022-04-02,Rusia,0
2022-04-02,África,0
2022-04-02,Francia,0
2022-04-02,Gran Bretaña,0
2022-04-02,Europa,0
2022-04-02,R. Checa,8
2022-04-02,Residente,6
2022-04-02,Polonia,37
2022-04-09,América del Norte,0
2022-04-09,Europa,11
2022-04-09,Oceanía,0
2022-04-09,Francia,2
2022-04-09,Asia y Oriente Próx.,0
2022-04-09,R. Eslovaca,0
2022-04-09,Estonia-Letonia-Lituania,3
2022-04-09,España,13
2022-04-09,Italia,4
2022-04-09,América del Sur,0
2022-04-09,Austria,0
2022-04-09,Alemania,21
2022-04-09,Rusia,0
2022-04-09,África,0
2022-04-09,R. Checa,3
2022-04-09,Gran Bretaña,0
2022-04-09,Residente,9
2022-04-09,Polonia,36
2022-04-10,América del Sur,0
2022-04-10,Italia,2
2022-04-10,Francia,2
2022-04-10,América del Norte,0
2022-04-10,Residente,11
2022-04-10,Asia y Oriente Próx.,1
2022-04-10,R. Eslovaca,0
2022-04-10,Rusia,0
2022-04-10,África,0
2022-04-10,Oceanía,0
2022-04-10,Alemania,23
2022-04-10,Austria,1
2022-04-10,Gran Bretaña,8
2022-04-10,Polonia,32
2022-04-10,España,10
2022-04-10,Europa,10
2022-04-10,R. Checa,5
2022-04-10,Estonia-Letonia-Lituania,5
2022-04-14,R. Checa,13
2022-04-14,Gran Bretaña,1
2022-04-14,Residente,0
2022-04-14,Austria,2
2022-04-14,Francia,0
2022-04-14,Rusia,0
2022-04-14,España,38
2022-04-14,R. Eslovaca,0
2022-04-14,Estonia-Letonia-Lituania,0
2022-04-14,Asia y Oriente Próx.,0
2022-04-14,Italia,3
2022-04-14,América del Norte,0
2022-04-14,Europa,0
2022-04-14,América del Sur,0
2022-04-14,África,0
